month_year,zip,park_n_rec_event_count(0-3),park_n_rec_event_count(4-6),park_n_rec_event_count(7-9),park_n_rec_event_count(>9),eviction_count(0-8),eviction_count(9-16),eviction_count(17-24),eviction_count(>24),building_complaint_count(0-34),building_complaint_count(35-68),building_complaint_count(69-102),building_complaint_count(>102),construction_job_count(0-45),construction_job_count(46-90),construction_job_count(91-135),construction_job_count(>135),car_accident_count(0-26),car_accident_count(27-52),car_accident_count(53-78),car_accident_count(>78)
2017-01,10003,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2017-01,10007,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-01,10009,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2017-01,10014,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2017-01,10021,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2017-01,10022,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2017-01,10023,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2017-01,10032,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2017-01,10034,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-01,10040,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-01,10301,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-01,10302,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2017-01,10306,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2017-01,10312,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2017-01,10314,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2017-01,10452,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2017-01,10454,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2017-01,10467,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-01,10471,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-01,10474,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2017-01,11102,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2017-01,11201,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-01,11203,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2017-01,11215,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2017-01,11222,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2017-01,11225,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2017-01,11234,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2017-01,11238,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2017-01,11354,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2017-01,11355,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2017-01,11360,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-01,11366,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-01,11366,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-01,11413,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2017-01,11422,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2017-02,10003,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2017-02,10003,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2017-02,10012,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2017-02,10021,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2017-02,10022,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-02,10023,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2017-02,10027,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2017-02,10032,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2017-02,10034,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-02,10037,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-02,10040,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-02,10301,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2017-02,10306,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-02,10309,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-02,10312,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-02,10314,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2017-02,10452,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2017-02,10454,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2017-02,10458,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
2017-02,10458,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-02,10460,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2017-02,10467,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2017-02,10468,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-02,10471,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-02,10473,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-02,11201,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2017-02,11203,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
2017-02,11212,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2017-02,11225,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2017-02,11232,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-02,11234,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2017-02,11354,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2017-02,11355,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2017-02,11360,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-02,11374,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-02,11434,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2017-02,11435,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2017-03,10002,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-03,10003,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-03,10005,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2017-03,10014,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2017-03,10019,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-03,10021,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2017-03,10022,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-03,10023,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2017-03,10027,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2017-03,10032,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2017-03,10035,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2017-03,10035,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2017-03,10040,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-03,10306,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2017-03,10314,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2017-03,10451,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-03,10452,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2017-03,10455,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
2017-03,10464,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-03,10466,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-03,10467,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2017-03,10468,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
2017-03,10471,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-03,11106,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-03,11201,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-03,11203,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
2017-03,11206,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2017-03,11206,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2017-03,11212,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2017-03,11215,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-03,11223,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2017-03,11225,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2017-03,11238,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2017-03,11354,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2017-03,11355,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2017-03,11361,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-03,11363,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-03,11366,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-03,11367,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2017-03,11368,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2017-03,11418,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2017-03,11435,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,10001,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-04,10003,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-04,10009,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2017-04,10011,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-04,10012,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2017-04,10017,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2017-04,10018,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2017-04,10019,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2017-04,10019,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-04,10021,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2017-04,10022,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-04,10023,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2017-04,10026,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-04,10027,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2017-04,10029,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2017-04,10030,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2017-04,10031,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2017-04,10032,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2017-04,10037,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-04,10040,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-04,10065,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2017-04,10301,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-04,10302,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-04,10305,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-04,10306,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2017-04,10307,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-04,10310,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2017-04,10312,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017-04,10314,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2017-04,10451,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,10452,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
2017-04,10454,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2017-04,10456,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2017-04,10459,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2017-04,10460,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,10465,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2017-04,10467,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2017-04,10470,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2017-04,10471,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017-04,10473,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2017-04,10475,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2017-04,11101,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-04,11106,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2017-04,11201,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-04,11203,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,11206,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2017-04,11207,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2017-04,11208,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2017-04,11210,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,11212,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2017-04,11215,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2017-04,11216,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2017-04,11216,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2017-04,11218,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2017-04,11220,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
